"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"505",608638,"JT Chargois",2018,"505","100.0","0.222","0.154","0.301","0.376","0.301","0.271","0.208","26","117","87.2","-2.2","2325","90.2","90.18","70","226","275","0.0","6.22","108","150","113","145","300","318","293"
"505",596720,"Dovydas Neverauskas",2018,"505","100.0","0.280","0.318","0.292","0.598","0.394","0.382","0.268","30","107","91.6","12.4","2431","92.1","92.22","63","230","273","0.1","6.36","110","150","115","148","300","321","297"
"504",592473,"Adam Kolarek",2018,"504","100.0","0.284","0.090","0.328","0.373","0.295","0.271","0.239","38","134","87.5","2.2","2154","86.7","86.00","51","250","251","-0.7","6.15","109","153","110","147","292","316","288"
"504",596071,"Dillon Peters",2018,"504","100.0","0.306","0.171","0.330","0.477","0.376","0.371","0.290","34","111","93.4","12.5","2408","84.7","83.30","38","213","290","-1.4","5.48","105","149","110","147","297","319","297"
"503",664028,"Brett Kennedy",2018,"503","100.0","0.330","0.220","0.349","0.550","0.405","0.377","0.301","36","109","87.4","12.6","2072","88.4","88.85","47","232","267","0.4","6.57","114","151","111","147","298","319","304"
"501",547749,"Junichi Tazawa",2018,"501","100.0","0.302","0.284","0.341","0.586","0.402","0.382","0.289","35","116","91.8","20.7","2243","86.5","84.43","39","234","265","-2.1","5.18","107","150","109","147","297","320","294"
"500",573064,"Vidal Nuno",2018,"500","100.0","0.198","0.157","0.216","0.355","0.264","0.257","0.199","24","121","85.7","22.2","2390","85.0","83.76","61","253","242","-1.2","5.49","111","153","114","147","297","322","290"
"499",605280,"Clay Holmes",2018,"499","100.0","0.291","0.107","0.346","0.398","0.368","0.357","0.261","30","103","89.6","3.9","2157","91.7","91.33","39","182","313","-0.4","5.98","110","150","114","147","299","320","296"
"499",642528,"Jonathan Loaisiga",2018,"499","100.0","0.271","0.167","0.383","0.438","0.344","0.328","0.257","26","96","88.7","8.0","2345","91.4","91.08","74","242","255","-0.3","6.03","108","154","111","148","292","320","286"
"499",533167,"Matt Shoemaker",2018,"499","100.0","0.244","0.143","0.313","0.387","0.304","0.359","0.285","29","119","91.8","11.8","1857","87.2","86.55","67","233","264","-0.7","5.85","112","151","108","148","297","321","302"
